#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Price,Volume,Market VWAP,Buyer ID,Bid Price,Bid Size,Seller ID,Ask Price,Ask Size,Qualifiers,Exch Time,Date,Tick Dir.,Open,High,Low,Turnover
PXA.AX,,Market Price,2025-01-15 11:32:48.390512173+11:00,Trade,12.97,2.0,12.967309,,12.96,460.0,,12.97,187.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.263000000,2025-01-15,^,12.74,13.04,12.7,382237.375
PXA.AX,,Market Price,2025-01-15 11:32:48.390512173+11:00,Trade,12.97,29.0,12.967312,,12.96,460.0,,12.98,746.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.263000000,2025-01-15,^,12.74,13.04,12.7,382613.505
PXA.AX,,Market Price,2025-01-15 11:32:48.390512173+11:00,Trade,12.97,23.0,12.967314,,12.96,460.0,,12.98,746.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.263000000,2025-01-15,^,12.74,13.04,12.7,382911.815
PXA.AX,,Market Price,2025-01-15 11:32:48.390564736+11:00,Trade,12.97,9.0,12.967315,,12.96,460.0,,12.98,520.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.263000000,2025-01-15,^,12.74,13.04,12.7,383028.545
PXA.AX,,Market Price,2025-01-15 11:32:48.390564736+11:00,Trade,12.97,25.0,12.967317,,12.96,460.0,,12.98,520.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.263000000,2025-01-15,^,12.74,13.04,12.7,383352.795
PXA.AX,,Market Price,2025-01-15 11:32:48.390564736+11:00,Trade,12.97,3.0,12.967317,,12.96,460.0,,12.98,520.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.263000000,2025-01-15,^,12.74,13.04,12.7,383391.705
PXA.AX,,Market Price,2025-01-15 11:32:48.390564736+11:00,Trade,12.97,1.0,12.967317,,12.96,460.0,,12.98,520.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.263000000,2025-01-15,^,12.74,13.04,12.7,383404.675
PXA.AX,,Market Price,2025-01-15 11:32:48.540908179+11:00,Trade,12.96,13.0,12.967314,,12.96,480.0,,12.98,319.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.405000000,2025-01-15,v,12.74,13.04,12.7,383573.155
PXA.AX,,Market Price,2025-01-15 11:32:48.650421015+11:00,Trade,12.97,17.0,12.967316,,12.96,467.0,,12.98,319.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],00:32:48.525000000,2025-01-15,^,12.74,13.04,12.7,383793.645
PXA.AX,,Market Price,2025-01-15 11:32:48.650463229+11:00,Trade,12.97,15.0,12.967317,,12.96,415.0,,12.98,319.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],00:32:48.525000000,2025-01-15,^,12.74,13.04,12.7,383988.195
PXA.AX,,Market Price,2025-01-15 11:32:48.650463229+11:00,Trade,12.96,52.0,12.967304,,12.96,415.0,,12.98,319.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:32:48.525000000,2025-01-15,v,12.74,13.04,12.7,384662.115
PXA.CHA,,Market Price,2025-01-15 11:32:50.428910352+11:00,Trade,12.98,1.0,12.9733,,12.96,145.0,,12.98,78.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:32:50.305347000,2025-01-15,^,12.9,13.03,12.9,67500.0
PXA.CHA,,Market Price,2025-01-15 11:33:01.574220271+11:00,Trade,12.97,54.0,12.9733,,12.96,140.0,,12.98,63.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",00:33:01.451933000,2025-01-15,v,12.9,13.03,12.9,68201.0
PXA.CHA,,Market Price,2025-01-15 11:33:04.109091126+11:00,Trade,12.98,14.0,12.9733,,12.96,140.0,,12.98,42.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",00:33:03.984570000,2025-01-15,^,12.9,13.03,12.9,68382.0
PXA.AX,,Market Price,2025-01-15 11:33:16.130719097+11:00,Trade,12.98,1.0,12.967305,,12.96,364.0,,12.98,251.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:16.006000000,2025-01-15,^,12.74,13.04,12.7,384675.095
PXA.AX,,Market Price,2025-01-15 11:33:45.070417577+11:00,Trade,12.975,39.0,12.967315,,12.97,237.0,,12.98,267.0,[ACT_FLAG1];NXXT[GV4_TEXT];NXXT[LSTSALCOND],00:33:44.947000000,2025-01-15,v,12.74,13.04,12.7,385181.12
PXA.AX,,Market Price,2025-01-15 11:33:45.110454927+11:00,Trade,12.98,24.0,12.967325,,12.97,375.0,,12.98,147.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:33:44.988000000,2025-01-15,^,12.74,13.04,12.7,385492.64
PXA.AX,,Market Price,2025-01-15 11:33:45.111407702+11:00,Trade,12.98,6.0,12.967328,,12.97,375.0,,12.98,117.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:44.988000000,2025-01-15,^,12.74,13.04,12.7,385570.52
PXA.AX,,Market Price,2025-01-15 11:33:45.121363323+11:00,Trade,12.98,8.0,12.967331,,12.97,375.0,,12.98,117.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:44.995000000,2025-01-15,^,12.74,13.04,12.7,385674.36
PXA.CHA,,Market Price,2025-01-15 11:33:51.823931068+11:00,Trade,12.98,16.0,12.9733,,12.97,97.0,,12.98,12.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:33:51.700518000,2025-01-15, ,12.9,13.03,12.9,68590.0
PXA.CHA,,Market Price,2025-01-15 11:33:51.824624319+11:00,Trade,12.98,10.0,12.9734,,12.97,97.0,,12.98,2.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:33:51.700518000,2025-01-15, ,12.9,13.03,12.9,68720.0
PXA.CHA,,Market Price,2025-01-15 11:33:51.824624319+11:00,Trade,12.98,2.0,12.9734,,12.97,97.0,,12.99,281.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:33:51.700518000,2025-01-15, ,12.9,13.03,12.9,68746.0
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,32.0,12.967345,,12.97,408.0,,12.98,93.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386089.72
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,4.0,12.967346,,12.97,408.0,,12.98,93.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386141.64
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,24.0,12.967357,,12.97,408.0,,12.98,57.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386453.16
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,3.0,12.967358,,12.97,408.0,,12.98,57.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386492.1
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,3.0,12.967359,,12.97,408.0,,12.99,599.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386531.04
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,7.0,12.967362,,12.97,408.0,,12.99,599.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386621.9
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,1.0,12.967362,,12.97,408.0,,12.99,599.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386634.88
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,2.0,12.967363,,12.97,408.0,,12.99,599.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386660.84
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,4.0,12.967365,,12.97,408.0,,12.99,599.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386712.76
PXA.AX,,Market Price,2025-01-15 11:33:51.825910755+11:00,Trade,12.98,13.0,12.967371,,12.97,408.0,,12.99,599.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:33:51.700000000,2025-01-15,^,12.74,13.04,12.7,386881.5
PXA.AX,,Market Price,2025-01-15 11:34:13.121385767+11:00,Trade,12.98,1.0,12.967371,,12.98,197.0,,12.99,228.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:34:12.995000000,2025-01-15,^,12.74,13.04,12.7,386894.48
PXA.AX,,Market Price,2025-01-15 11:34:13.240852687+11:00,Trade,12.985,39.0,12.967394,,12.98,196.0,,12.99,228.0,[ACT_FLAG1];NXXT[GV4_TEXT];NXXT[LSTSALCOND],00:34:13.115000000,2025-01-15,^,12.74,13.04,12.7,387400.895
PXA.CHA,,Market Price,2025-01-15 11:34:41.753913601+11:00,Trade,12.985,17.0,12.9734,,12.98,124.0,,12.99,3.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",00:34:41.628518000,2025-01-15,^,12.9,13.03,12.9,68967.0
PXA.AX,,Market Price,2025-01-15 11:34:41.936004949+11:00,Trade,12.985,31.0,12.967412,,12.98,512.0,,12.99,159.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],00:34:41.810000000,2025-01-15,^,12.74,13.04,12.7,387803.43
PXA.AX,,Market Price,2025-01-15 11:34:41.936004949+11:00,Trade,12.98,35.0,12.967427,,12.98,477.0,,12.99,159.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:34:41.810000000,2025-01-15,v,12.74,13.04,12.7,388257.73
PXA.AX,,Market Price,2025-01-15 11:35:33.935505326+11:00,Trade,12.985,31.0,12.967445,,12.98,534.0,,12.99,109.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],00:35:33.810000000,2025-01-15,^,12.74,13.04,12.7,388660.265
PXA.AX,,Market Price,2025-01-15 11:35:33.935505326+11:00,Trade,12.98,36.0,12.96746,,12.98,498.0,,12.99,109.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:35:33.810000000,2025-01-15,v,12.74,13.04,12.7,389127.545
PXA.CHA,,Market Price,2025-01-15 11:36:10.608904212+11:00,Trade,12.99,3.0,12.9734,,12.98,86.0,,13.0,275.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",00:36:10.486512000,2025-01-15,^,12.9,13.03,12.9,69006.0
PXA.AX,,Market Price,2025-01-15 11:36:10.611293130+11:00,Trade,12.99,8.0,12.967466,,12.98,500.0,,12.99,147.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:10.486000000,2025-01-15,^,12.74,13.04,12.7,389231.465
PXA.AX,,Market Price,2025-01-15 11:36:10.611293130+11:00,Trade,12.99,24.0,12.967484,,12.98,500.0,,12.99,147.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:10.486000000,2025-01-15,^,12.74,13.04,12.7,389543.225
PXA.AX,,Market Price,2025-01-15 11:36:10.611293130+11:00,Trade,12.99,3.0,12.967486,,12.98,500.0,,12.99,72.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:10.486000000,2025-01-15,^,12.74,13.04,12.7,389582.195
PXA.AX,,Market Price,2025-01-15 11:36:10.611293130+11:00,Trade,12.99,40.0,12.967516,,12.98,500.0,,12.99,72.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:10.486000000,2025-01-15,^,12.74,13.04,12.7,390101.795
PXA.AX,,Market Price,2025-01-15 11:36:10.620416965+11:00,Trade,12.99,30.0,12.967539,,12.98,500.0,,12.99,197.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:36:10.495000000,2025-01-15,^,12.74,13.04,12.7,390491.495
PXA.AX,,Market Price,2025-01-15 11:36:10.621243950+11:00,Trade,12.99,4.0,12.967542,,12.98,500.0,,12.99,167.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:36:10.495000000,2025-01-15,^,12.74,13.04,12.7,390543.455
PXA.AX,,Market Price,2025-01-15 11:36:10.621243950+11:00,Trade,12.99,1.0,12.967542,,12.98,500.0,,12.99,167.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:36:10.495000000,2025-01-15,^,12.74,13.04,12.7,390556.445
PXA.AX,,Market Price,2025-01-15 11:36:10.621243950+11:00,Trade,12.99,2.0,12.967544,,12.98,500.0,,12.99,159.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:10.495000000,2025-01-15,^,12.74,13.04,12.7,390582.425
PXA.AX,,Market Price,2025-01-15 11:36:10.621243950+11:00,Trade,12.99,1.0,12.967545,,12.98,500.0,,12.99,159.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:10.495000000,2025-01-15,^,12.74,13.04,12.7,390595.415
PXA.AX,,Market Price,2025-01-15 11:36:12.716052235+11:00,Trade,12.98,10.0,12.967549,,12.98,500.0,,12.99,159.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.590000000,2025-01-15,v,12.74,13.04,12.7,390725.215
PXA.AX,,Market Price,2025-01-15 11:36:12.871372688+11:00,Trade,12.99,34.0,12.967574,,12.98,490.0,,13.0,1004.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.743000000,2025-01-15,^,12.74,13.04,12.7,391166.875
PXA.AX,,Market Price,2025-01-15 11:36:12.871372688+11:00,Trade,12.99,125.0,12.967667,,12.98,490.0,,13.0,1004.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.743000000,2025-01-15,^,12.74,13.04,12.7,392790.625
PXA.AX,,Market Price,2025-01-15 11:36:13.050597145+11:00,Trade,13.0,13.0,12.967681,,12.98,490.0,,13.0,1006.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.924000000,2025-01-15,^,12.74,13.04,12.7,392959.625
PXA.AX,,Market Price,2025-01-15 11:36:13.050597145+11:00,Trade,13.0,125.0,12.967813,,12.98,490.0,,13.0,1006.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.924000000,2025-01-15,^,12.74,13.04,12.7,394584.625
PXA.AX,,Market Price,2025-01-15 11:36:13.050597145+11:00,Trade,13.0,120.0,12.96794,,12.98,490.0,,13.0,740.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.924000000,2025-01-15,^,12.74,13.04,12.7,396144.625
PXA.AX,,Market Price,2025-01-15 11:36:13.050597145+11:00,Trade,13.0,8.0,12.967948,,12.98,490.0,,13.0,740.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.924000000,2025-01-15,^,12.74,13.04,12.7,396248.625
PXA.AX,,Market Price,2025-01-15 11:36:13.070509681+11:00,Trade,12.99,18.0,12.967961,,12.98,406.0,,13.0,740.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],00:36:12.945000000,2025-01-15,v,12.74,13.04,12.7,396482.445
PXA.AX,,Market Price,2025-01-15 11:36:13.070509681+11:00,Trade,12.98,84.0,12.967994,,12.98,406.0,,13.0,740.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:36:12.945000000,2025-01-15,v,12.74,13.04,12.7,397572.765
PXA.CHA,,Market Price,2025-01-15 11:36:45.848899957+11:00,Trade,13.0,8.0,12.9735,,12.98,88.0,,13.0,130.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:36:45.723617000,2025-01-15,^,12.9,13.03,12.9,69110.0
PXA.CHA,,Market Price,2025-01-15 11:36:45.849596596+11:00,Trade,13.0,4.0,12.9735,,12.98,88.0,,13.0,126.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:36:45.723617000,2025-01-15, ,12.9,13.03,12.9,69162.0
PXA.CHA,,Market Price,2025-01-15 11:36:45.849596596+11:00,Trade,13.0,2.0,12.9735,,12.98,88.0,,13.0,124.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:36:45.723617000,2025-01-15, ,12.9,13.03,12.9,69188.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.318886134+11:00,Trade,13.0,7.0,12.9735,,12.98,99.0,,13.0,168.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,69279.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,12.0,12.9736,,12.98,99.0,,13.0,156.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,69435.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,9.0,12.9736,,12.98,99.0,,13.0,147.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,69552.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,78.0,12.974,,12.98,99.0,,13.0,69.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,70566.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,10.0,12.974,,12.98,99.0,,13.0,59.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,70696.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,8.0,12.9741,,12.98,99.0,,13.0,51.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,70800.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,4.0,12.9741,,12.98,99.0,,13.0,47.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,70852.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,4.0,12.9741,,12.98,99.0,,13.0,43.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,70904.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,20.0,12.9742,,12.98,99.0,,13.0,23.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,71164.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,1.0,12.9742,,12.98,99.0,,13.0,22.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,71177.0
PXA.CHA,,Market Price,2025-01-15 11:38:01.319269184+11:00,Trade,13.0,22.0,12.9743,,12.98,99.0,,13.01,432.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:01.194270000,2025-01-15, ,12.9,13.03,12.9,71463.0
PXA.AX,,Market Price,2025-01-15 11:38:01.320438216+11:00,Trade,13.0,89.0,12.968087,,12.98,596.0,,13.0,835.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:01.194000000,2025-01-15,^,12.74,13.04,12.7,398729.765
PXA.AX,,Market Price,2025-01-15 11:38:16.625765337+11:00,Trade,12.995,11.0,12.968096,,12.99,197.0,,13.0,550.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],00:38:16.501000000,2025-01-15,v,12.74,13.04,12.7,398872.71
PXA.CHA,,Market Price,2025-01-15 11:38:16.673963154+11:00,Trade,12.995,39.0,12.9745,,12.99,120.0,,13.0,68.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",00:38:16.548468000,2025-01-15,v,12.9,13.03,12.9,71969.0
PXA.CHA,,Market Price,2025-01-15 11:38:18.464026876+11:00,Trade,13.0,6.0,12.9745,,12.99,72.0,,13.0,33.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",00:38:18.338918000,2025-01-15,^,12.9,13.03,12.9,72047.0
PXA.CHA,,Market Price,2025-01-15 11:38:18.464026876+11:00,Trade,13.0,24.0,12.9746,,12.99,72.0,,13.0,9.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:18.338918000,2025-01-15, ,12.9,13.03,12.9,72359.0
PXA.CHA,,Market Price,2025-01-15 11:38:18.464026876+11:00,Trade,13.0,3.0,12.9746,,12.99,72.0,,13.0,6.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:18.338939000,2025-01-15, ,12.9,13.03,12.9,72398.0
PXA.CHA,,Market Price,2025-01-15 11:38:18.464026876+11:00,Trade,13.0,1.0,12.9746,,12.99,72.0,,13.0,5.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:18.338939000,2025-01-15, ,12.9,13.03,12.9,72411.0
PXA.CHA,,Market Price,2025-01-15 11:38:18.464026876+11:00,Trade,13.0,2.0,12.9746,,12.99,72.0,,13.0,3.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:18.338939000,2025-01-15, ,12.9,13.03,12.9,72437.0
PXA.CHA,,Market Price,2025-01-15 11:38:18.464026876+11:00,Trade,13.0,2.0,12.9746,,12.99,72.0,,13.01,432.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",00:38:18.338939000,2025-01-15, ,12.9,13.03,12.9,72463.0
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,301.0,12.968406,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,402785.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,1.0,12.968407,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,402798.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,12.0,12.968419,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,402954.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,30.0,12.968449,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,403344.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,38.0,12.968488,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,403838.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,1.0,12.968489,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,403851.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,1.0,12.96849,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,403864.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,32.0,12.968522,,12.99,313.0,,13.0,530.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,404280.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,3.0,12.968525,,12.99,313.0,,13.01,468.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,404319.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,37.0,12.968563,,12.99,313.0,,13.01,468.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,404800.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,14.0,12.968577,,12.99,313.0,,13.01,468.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,404982.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,2.0,12.968579,,12.99,363.0,,13.01,468.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,405008.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,21.0,12.9686,,12.99,363.0,,13.01,468.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,405281.71
PXA.AX,,Market Price,2025-01-15 11:38:18.465564690+11:00,Trade,13.0,2.0,12.968602,,12.99,363.0,,13.01,246.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],00:38:18.338000000,2025-01-15,^,12.74,13.04,12.7,405307.71
