#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Price,Volume,Market VWAP,Buyer ID,Bid Price,Bid Size,Seller ID,Ask Price,Ask Size,Qualifiers,Exch Time,Date,Tick Dir.,Open,High,Low,Turnover
PXA.AX,,Market Price,2025-01-15 10:06:52.309985725+11:00,Trade,12.74,23.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,5299.84
PXA.AX,,Market Price,2025-01-15 10:06:52.309985725+11:00,Trade,12.74,1.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,5312.58
PXA.AX,,Market Price,2025-01-15 10:06:52.309985725+11:00,Trade,12.74,41.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,5834.92
PXA.AX,,Market Price,2025-01-15 10:06:52.309985725+11:00,Trade,12.74,8.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,5936.84
PXA.AX,,Market Price,2025-01-15 10:06:52.309985725+11:00,Trade,12.74,40.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,6446.44
PXA.AX,,Market Price,2025-01-15 10:06:52.309985725+11:00,Trade,12.74,4.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,6497.4
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,4.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,6548.36
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,6.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,6624.8
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,83.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,7682.22
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,1.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,7694.96
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,4.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,7745.92
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,8.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,7847.84
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,31.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,8242.78
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,3.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,8281.0
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,29.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,8650.46
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,5.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,8714.16
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,2.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,8739.64
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,2.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,8765.12
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,24.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,9070.88
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,3.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,9109.1
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,3.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,9147.32
PXA.AX,,Market Price,2025-01-15 10:06:52.310081470+11:00,Trade,12.74,3.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,9185.54
PXA.AX,,Market Price,2025-01-15 10:06:52.310098713+11:00,Trade,12.74,51.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,9835.28
PXA.AX,,Market Price,2025-01-15 10:06:52.315866340+11:00,Trade,12.74,53.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,10510.5
PXA.AX,,Market Price,2025-01-15 10:06:52.315866340+11:00,Trade,12.74,28.0,12.74,,12.68,2208.0,,12.74,171.0,[ACT_FLAG1];MO[GV4_TEXT];MO[LSTSALCOND],23:06:52.002000000,2025-01-14,v,12.74,12.74,12.74,10867.22
