Date-Time,Trade VWAP,Cumulative Trade Volume,SCVWMP,VWMP,Mid Price,Abs(VWAP - SCVWMP),Abs(VWAP - VWMP),Abs(VWAP - Mid Price)
2025-01-15 10:00:00+11:00,,0.0,13.049502898983464,13.049502898983464,13.048000000000002,,,
2025-01-15 10:05:00+11:00,12.737682926829269,984.0,12.861425746271127,12.861425746271127,12.87466386554622,0.12374281944185839,0.12374281944185839,0.13698093871695072
2025-01-15 10:10:00+11:00,12.934573804573802,962.0,12.84259070932496,12.84259070932496,12.926778606965174,0.09198309524884252,0.09198309524884252,0.007795197608627902
2025-01-15 10:15:00+11:00,12.932850877192982,342.0,12.861564686047812,12.861564686047812,12.921419491525423,0.07128619114516965,0.07128619114516965,0.011431385667558303
2025-01-15 10:20:00+11:00,12.903069207622869,997.0,12.865155915156919,12.865155915156919,12.901304347826088,0.037913292465949766,0.037913292465949766,0.001764859796780982
2025-01-15 10:25:00+11:00,12.983826005025126,7960.0,12.8871799626801,12.8871799626801,12.973898550724638,0.09664604234502505,0.09664604234502505,0.009927454300488137
2025-01-15 10:30:00+11:00,13.017260221627817,5234.0,12.923483547881219,12.923483547881219,13.0180078125,0.09377667374659815,0.09377667374659815,0.0007475908721836788
2025-01-15 10:35:00+11:00,13.016980732177265,2595.0,12.934270250226609,12.934270250226609,13.014233490566037,0.08271048195065589,0.08271048195065589,0.0027472416112281905
2025-01-15 10:40:00+11:00,12.980595611285269,4147.0,12.939201450593472,12.939201450593472,12.981356184798807,0.041394160691796245,0.041394160691796245,0.0007605735135385316
2025-01-15 10:45:00+11:00,12.943483009708736,824.0,12.941002052913687,12.941002052913687,12.942816326530611,0.002480956795048783,0.002480956795048783,0.0006666831781245719
2025-01-15 10:50:00+11:00,12.938405740884406,1289.0,12.940934453599954,12.940934453599954,12.939957020057307,0.0025287127155486644,0.0025287127155486644,0.0015512791729008768
2025-01-15 10:55:00+11:00,12.92873072360617,843.0,12.940824508298068,12.940824508298068,12.93,0.012093784691897369,0.012093784691897369,0.0012692763938293439
2025-01-15 11:00:00+11:00,12.953434437704153,2143.0,12.940982892885668,12.940982892885668,12.956797124600639,0.012451544818485871,0.012451544818485871,0.003362686896485556
2025-01-15 11:05:00+11:00,12.956060606060607,660.0,12.942153235523238,12.942153235523238,12.9590036900369,0.013907370537369346,0.013907370537369346,0.0029430839762927263
2025-01-15 11:10:00+11:00,12.958812691914023,977.0,12.942671941895929,12.942671941895929,12.95890566037736,0.016140750018093897,0.016140750018093897,9.29684633366179e-05
2025-01-15 11:15:00+11:00,12.943054830287204,1915.0,12.942980715842053,12.942980715842053,12.938163064833006,7.411444515170729e-05,7.411444515170729e-05,0.004891765454198449
2025-01-15 11:20:00+11:00,12.953119447186575,2026.0,12.943117000090204,12.943117000090204,12.953965163934425,0.010002447096370659,0.010002447096370659,0.0008457167478503891
2025-01-15 11:25:00+11:00,12.963339517625231,539.0,12.94359050972957,12.94359050972957,12.96,0.01974900789566192,0.01974900789566192,0.003339517625230215
2025-01-15 11:30:00+11:00,12.972774390243904,820.0,12.944203154155636,12.944203154155636,12.972800000000001,0.028571236088268392,0.028571236088268392,2.5609756097111358e-05
2025-01-15 11:35:00+11:00,13.004243598382747,2968.0,12.947151749560744,12.947151749560744,13.004948024948025,0.05709184882200269,0.05709184882200269,0.0007044265652780268
2025-01-15 11:40:00+11:00,13.017823325635103,866.0,12.951880609707736,12.951880609707736,13.022300613496933,0.06594271592736689,0.06594271592736689,0.004477287861829993
2025-01-15 11:45:00+11:00,13.035056999544,2193.0,12.955596640924764,12.955596640924764,13.036748878923765,0.07946035861923662,0.07946035861923662,0.0016918793797646714
2025-01-15 11:50:00+11:00,13.031711335676624,2276.0,12.959161299777449,12.959161299777449,13.030582010582009,0.07255003589917486,0.07255003589917486,0.0011293250946149413
2025-01-15 11:55:00+11:00,13.030233433734939,664.0,12.961256432203426,12.961256432203426,13.032397003745317,0.06897700153151298,0.06897700153151298,0.0021635700103779243
2025-01-15 12:00:00+11:00,13.044849896480331,966.0,12.962507462331187,12.962507462331187,13.046805111821087,0.08234243414914388,0.08234243414914388,0.0019552153407556006
2025-01-15 12:05:00+11:00,13.040024850894632,2012.0,12.96481863359185,12.96481863359185,13.040890109890109,0.07520621730278165,0.07520621730278165,0.0008652589954767365
2025-01-15 12:10:00+11:00,13.046427469135804,648.0,12.967086297497223,12.967086297497223,13.046901408450704,0.07934117163858012,0.07934117163858012,0.00047393931490091745
2025-01-15 12:15:00+11:00,13.039435953420668,1374.0,12.968726791037778,12.968726791037778,13.037740384615384,0.07070916238289016,0.07070916238289016,0.0016955688052835427
2025-01-15 12:20:00+11:00,13.041675749318804,1468.0,12.971265828814417,12.971265828814417,13.040913580246913,0.0704099205043871,0.0704099205043871,0.0007621690718906393
2025-01-15 12:25:00+11:00,13.038725212464588,1059.0,12.973073075716401,12.973073075716401,13.041346153846154,0.06565213674818615,0.06565213674818615,0.002620941381566766
2025-01-15 12:30:00+11:00,13.005775693630325,2559.0,12.974614592712966,12.974614592712966,13.002070116861436,0.031161100917358908,0.031161100917358908,0.0037055767688887187
2025-01-15 12:35:00+11:00,13.007682758620687,1450.0,12.97560024052444,12.97560024052444,13.00693103448276,0.032082518096247625,0.032082518096247625,0.0007517241379275674
2025-01-15 12:40:00+11:00,13.018354134165365,641.0,12.976365078581763,12.976365078581763,13.016897590361445,0.041989055583602664,0.041989055583602664,0.0014565438039202405
2025-01-15 12:45:00+11:00,13.01798373139495,2889.0,12.977423131231937,12.977423131231937,13.015847255369927,0.040560600163011884,0.040560600163011884,0.002136476025022205
2025-01-15 12:50:00+11:00,12.998580625383202,1631.0,12.978264744632208,12.978264744632208,13.000753676470588,0.020315880750993998,0.020315880750993998,0.0021730510873858577
2025-01-15 12:55:00+11:00,12.997105263157893,589.0,12.978530153274294,12.978530153274294,12.995261437908498,0.01857510988359934,0.01857510988359934,0.0018438252493950813
2025-01-15 13:00:00+11:00,12.988907828282828,3168.0,12.979002766510552,12.979002766510552,12.986191369606004,0.009905061772276014,0.009905061772276014,0.0027164586768240184
2025-01-15 13:05:00+11:00,12.980487646293891,769.0,12.979072661840574,12.979072661840574,12.981388888888889,0.0014149844533175582,0.0014149844533175582,0.0009012425949972425
2025-01-15 13:10:00+11:00,12.982403467297082,1269.0,12.979141762296022,12.979141762296022,12.980863787375416,0.0032617050010603776,0.0032617050010603776,0.0015396799216667034
2025-01-15 13:15:00+11:00,12.97811353211009,872.0,12.979101458596475,12.979101458596475,12.977464285714285,0.0009879264863847936,0.0009879264863847936,0.000649246395804326
2025-01-15 13:20:00+11:00,12.965707487309645,3152.0,12.978974469116492,12.978974469116492,12.967972972972973,0.013266981806847156,0.013266981806847156,0.0022654856633277376
2025-01-15 13:25:00+11:00,12.96699404761905,840.0,12.978631135932682,12.978631135932682,12.972741935483873,0.011637088313632304,0.011637088313632304,0.0057478878648229426
2025-01-15 13:30:00+11:00,12.97101744186047,1376.0,12.978534860654056,12.978534860654056,12.970718954248367,0.007517418793586472,0.007517418793586472,0.00029848761210260477
2025-01-15 13:35:00+11:00,12.96689771766695,1183.0,12.978247214532272,12.978247214532272,12.967133757961783,0.011349496865323161,0.011349496865323161,0.00023604029483337285
2025-01-15 13:40:00+11:00,12.968822170900692,866.0,12.977900364658899,12.977900364658899,12.970427350427352,0.00907819375820651,0.00907819375820651,0.001605179526659839
2025-01-15 13:45:00+11:00,12.974307479224377,361.0,12.977812811502002,12.977812811502002,12.975035714285715,0.0035053322776246176,0.0035053322776246176,0.0007282350613380117
2025-01-15 13:50:00+11:00,12.964337187415971,3719.0,12.977567722256921,12.977567722256921,12.963809523809525,0.01323053484095027,0.01323053484095027,0.0005276636064461826
2025-01-15 13:55:00+11:00,12.953777219430489,1791.0,12.977065819809727,12.977065819809727,12.953701923076922,0.023288600379238744,0.023288600379238744,7.529635356640085e-05
2025-01-15 14:00:00+11:00,12.93978524229075,1816.0,12.976488550298754,12.976488550298754,12.943259803921569,0.03670330800800414,0.03670330800800414,0.0034745616308189398
2025-01-15 14:05:00+11:00,12.940045454545455,220.0,12.976163042682737,12.976163042682737,12.945,0.03611758813728194,0.03611758813728194,0.004954545454545212
2025-01-15 14:10:00+11:00,12.951982696467196,1387.0,12.975861864266017,12.975861864266017,12.953551587301588,0.023879167798821044,0.023879167798821044,0.0015688908343918229
2025-01-15 14:15:00+11:00,12.945185776487662,3445.0,12.97501066723701,12.97501066723701,12.946355769230768,0.029824890749347688,0.029824890749347688,0.0011699927431063628
2025-01-15 14:20:00+11:00,12.957,195.0,12.974385171668775,12.974385171668775,12.955,0.01738517166877429,0.01738517166877429,0.002000000000000668
2025-01-15 14:25:00+11:00,12.965181121560434,2871.0,12.97413390310577,12.97413390310577,12.965490716180371,0.008952781545335853,0.008952781545335853,0.00030959461993695925
2025-01-15 14:30:00+11:00,12.967333759590792,782.0,12.973972511194603,12.973972511194603,12.966612903225807,0.0066387516038108885,0.0066387516038108885,0.0007208563649854227
